partidos_temporada,partidos_jornada,partidos_fecha,partidos_foto_local,partidos_equipo_local,partidos_resultado,partidos_foto_visitante,partidos_equipo_visitante
Temporada2020,Jornada 8,04 Oct 19,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis,1 - 1,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/712.jpg?size=37x&5,Celta de Vigo,1 - 0,https://thumb.resfu.com/img_data/escudos/small/347.jpg?size=37x&5,Athletic Bilbao
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1623.jpg?size=37x&5,Real Mallorca,2 - 0,https://thumb.resfu.com/img_data/escudos/small/998.jpg?size=37x&5,Espanyol
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1887.jpg?size=37x&5,Osasuna,2 - 1,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2107.jpg?size=37x&5,Real Madrid,4 - 2,https://thumb.resfu.com/img_data/escudos/small/4235.jpg?size=37x&5,Granada
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2120.jpg?size=37x&5,Real Sociedad,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1217.jpg?size=37x&5,Getafe
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2647.jpg?size=37x&5,Valencia,2 - 1,https://thumb.resfu.com/img_data/escudos/small/137.jpg?size=37x&5,Alavés
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2654.jpg?size=37x&5,Real Valladolid,0 - 0,https://thumb.resfu.com/img_data/escudos/small/369.jpg?size=37x&5,Atlético Madrid
Temporada2020,Jornada 9,20 Oct 19,https://thumb.resfu.com/img_data/escudos/small/137.jpg?size=37x&5,Alavés,2 - 0,https://thumb.resfu.com/img_data/escudos/small/712.jpg?size=37x&5,Celta de Vigo
Temporada2020,Jornada 9,20 Oct 19,https://thumb.resfu.com/img_data/escudos/small/347.jpg?size=37x&5,Athletic Bilbao,1 - 1,https://thumb.resfu.com/img_data/escudos/small/2654.jpg?size=37x&5,Real Valladolid
Temporada2020,Jornada 9,19 Oct 19,https://thumb.resfu.com/img_data/escudos/small/369.jpg?size=37x&5,Atlético Madrid,1 - 1,https://thumb.resfu.com/img_data/escudos/small/2647.jpg?size=37x&5,Valencia
Temporada2020,Jornada 9,19 Oct 19,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar,0 - 3,https://thumb.resfu.com/img_data/escudos/small/429.jpg?size=37x&5,Barcelona
Temporada2020,Jornada 9,20 Oct 19,https://thumb.resfu.com/img_data/escudos/small/998.jpg?size=37x&5,Espanyol,0 - 1,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal
Temporada2020,Jornada 9,19 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1217.jpg?size=37x&5,Getafe,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés
Temporada2020,Jornada 9,18 Oct 19,https://thumb.resfu.com/img_data/escudos/small/4235.jpg?size=37x&5,Granada,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1887.jpg?size=37x&5,Osasuna
Temporada2020,Jornada 9,19 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1623.jpg?size=37x&5,Real Mallorca,1 - 0,https://thumb.resfu.com/img_data/escudos/small/2107.jpg?size=37x&5,Real Madrid
Temporada2020,Jornada 9,20 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2120.jpg?size=37x&5,Real Sociedad,3 - 1,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis
